table_id,description,source_path,output_path,n_rows,n_columns
ST01,Dataset composition and evidence roles,results/tables/figure1_dataset_composition_source.csv,results/supplementary_tables/ST01_figure1_dataset_composition_source.csv,7,19
ST02,Specificity audit of refined GSE189357 discovery signatures,results/tables/gse189357_refined_signature_gse131907_specificity_audit.csv,results/supplementary_tables/ST02_gse189357_refined_signature_gse131907_specificity_audit.csv,180,7
ST03,Per-sample GSE307534 candidate-axis spatial adjacency,results/tables/gse307534_candidate_axis_spatial_with_patient.csv,results/supplementary_tables/ST03_gse307534_candidate_axis_spatial_with_patient.csv,560,29
ST04,Sample-level GSE307534 late-versus-precursor spatial contrasts,results/tables/gse307534_candidate_axis_late_vs_precursor_sample_stats.csv,results/supplementary_tables/ST04_gse307534_candidate_axis_late_vs_precursor_sample_stats.csv,10,15
ST05,Patient-aggregated GSE307534 late-versus-precursor spatial contrasts,results/tables/gse307534_candidate_axis_late_vs_precursor_patient_stats.csv,results/supplementary_tables/ST05_gse307534_candidate_axis_late_vs_precursor_patient_stats.csv,10,15
ST06,Paired-patient GSE307534 late-minus-precursor differences,results/tables/gse307534_candidate_axis_paired_patient_differences.csv,results/supplementary_tables/ST06_gse307534_candidate_axis_paired_patient_differences.csv,200,7
ST07,Paired-patient GSE307534 spatial-axis statistics,results/tables/gse307534_candidate_axis_paired_patient_stats.csv,results/supplementary_tables/ST07_gse307534_candidate_axis_paired_patient_stats.csv,10,11
ST08,Integrated multi-cohort mechanism-axis evidence matrix,results/tables/main_axis_evidence_matrix.csv,results/supplementary_tables/ST08_main_axis_evidence_matrix.csv,5,21
ST09,Top-quantile score-level in-silico target-prioritization ranking,results/tables/gse307534_virtual_perturbation_mia_luad_ranking.csv,results/supplementary_tables/ST09_gse307534_virtual_perturbation_mia_luad_ranking.csv,24,13
ST10,Continuous-coupling perturbation ranking,results/tables/gse307534_continuous_perturbation_mia_luad_ranking.csv,results/supplementary_tables/ST10_gse307534_continuous_perturbation_mia_luad_ranking.csv,24,12
ST11,GSE282617 bulk candidate-marker trends,results/tables/gse282617_candidate_marker_trends.csv,results/supplementary_tables/ST11_gse282617_candidate_marker_trends.csv,57,5
ST12,GSE308103 single-nucleus macrophage-state stage summary,results/tables/gse308103_snrna_macrophage_state_stage_summary.csv,results/supplementary_tables/ST12_gse308103_snrna_macrophage_state_stage_summary.csv,30,6
ST13,Expression-matched single-gene controls selected for source-side MIF,results/tables/gse307534_mif_expression_matched_controls.csv,results/supplementary_tables/ST13_gse307534_mif_expression_matched_controls.csv,20,6
ST14,Paired-patient statistics for MIF and expression-matched controls,results/tables/gse307534_mif_random_control_paired_stats.csv,results/supplementary_tables/ST14_gse307534_mif_random_control_paired_stats.csv,21,11
